2022-06-29 12:30:26,983 | INFO | ulauncher: main() | Ulauncher version 5.14.4
2022-06-29 12:30:26,984 | INFO | ulauncher: main() | Extension API version 2.0.0
2022-06-29 12:30:26,984 | INFO | ulauncher: main() | GTK+ 3.24.34
2022-06-29 12:30:26,984 | INFO | ulauncher: main() | Is Wayland: False
2022-06-29 12:30:26,984 | INFO | ulauncher: main() | Wayland compatibility: off
2022-06-29 12:30:26,992 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2022-06-29 12:30:26,993 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2022-06-29 12:30:26,993 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2022-06-29 12:30:26,993 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2022-06-29 12:30:26,994 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2022-06-29 12:30:26,994 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2022-06-29 12:30:26,994 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2022-06-29 12:30:26,994 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2022-06-29 12:30:26,994 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2022-06-29 12:30:26,994 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2022-06-29 12:30:26,995 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-06-29 12:30:26,995 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-06-29 12:30:27,003 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-06-29 12:30:27,005 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2022-06-29 12:30:27,005 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2022-06-29 12:30:27,013 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 64 apps in cache
2022-06-29 12:30:27,020 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2022-06-29 12:30:27,025 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 65 apps in the system
2022-06-29 12:30:27,025 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.02 seconds
2022-06-29 12:30:27,028 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2022-06-29 12:42:26,598 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-06-29 12:42:26,598 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-06-29 12:42:26,598 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-06-29 12:42:26,968 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-06-29 12:42:27,099 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-06-29 12:42:27,280 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2022-06-29 12:42:27,333 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2022-06-29 12:42:27,703 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application File Manager (/usr/share/applications/xfce4-file-manager.desktop) Exec ['exo-open', '--launch', 'FileManager']
2022-06-29 12:42:27,708 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-06-29 12:45:21,820 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-06-29 12:45:21,820 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-06-29 12:45:21,820 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-06-29 12:45:22,097 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-06-29 12:45:22,229 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-06-29 12:45:22,328 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-06-29 12:45:22,471 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-06-29 12:45:22,899 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Screenshot (/usr/share/applications/xfce4-screenshooter.desktop) Exec ['xfce4-screenshooter']
2022-06-29 12:45:22,905 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-06-29 12:45:35,978 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-06-29 12:45:35,979 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-06-29 12:45:35,979 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
